Group ID,Temporal sequence,Group size,Cumulative rainfall (mm),Average maximum temperature (degrees C),fGC (g/ng dry feces)
2,27,57,58.0,32.9,63.3
2,28,57,48.8,31.2,62.0
2,29,58,0.0,30.2,68.1
2,30,55,0.0,30.3,71.0
2,31,56,0.8,28.8,72.9
2,32,58,1.0,32.1,75.0
2,33,58,7.2,34.0,72.7
2,34,59,50.5,32.4,61.1
2,35,59,130.9,31.0,67.0
2,36,60,5.4,32.3,76.3
2,37,60,9.8,36.1,64.6
2,38,62,12.7,36.0,68.5
2,39,61,19.6,34.6,81.0
2,40,60,101.8,29.8,67.9
2,41,59,0.0,30.5,61.7
2,42,59,0.0,29.8,67.1
2,43,60,0.0,30.6,90.8
2,44,60,0.0,32.6,83.2
2,45,61,0.8,33.8,72.1
2,46,62,27.6,32.4,66.1
2,47,66,7.0,33.4,55.1
2,48,66,68.0,32.7,74.6
2,49,68,42.6,32.4,68.3
2,50,68,30.8,35.0,70.2
2,51,67,30.6,33.3,51.9
2,52,67,6.6,33.0,59.2
2,53,66,0.0,30.4,78.0
2,54,66,0.0,30.8,86.5
2,55,65,0.0,30.7,47.2
2,56,66,0.2,32.7,77.8
2,57,68,7.8,33.5,79.3
2,58,67,11.0,34.0,69.0
2,59,71,77.6,33.3,52.7
2,60,72,16.6,35.1,54.3
2,61,72,0.0,35.8,59.5
2,62,70,116.2,35.3,52.5
2,63,70,90.4,33.2,51.8
2,64,68,23.9,33.4,43.5
2,65,68,4.2,31.1,67.3
2,66,66,1.0,29.0,58.4
2,67,66,0.0,29.8,74.4
2,68,64,0.0,32.8,77.7
2,69,64,4.6,34.4,75.1
2,70,65,30.0,32.7,72.4
2,71,65,0.0,34.2,58.0
2,72,69,10.8,34.5,77.1
2,73,68,13.4,35.8,112.0
2,74,68,106.8,34.4,77.1
2,75,68,36.6,32.5,75.4
2,76,69,27.4,32.4,76.6
2,77,71,0.0,31.8,100.4
2,78,69,0.0,29.4,91.9
2,79,73,0.0,32.0,98.0
2,80,69,0.0,32.0,94.4
2,81,69,2.2,34.1,73.7
2,82,68,55.1,32.0,90.0
2,83,69,243.8,32.2,60.7
2,84,72,64.4,31.7,66.9
2,85,74,11.0,35.0,78.9
2,86,74,2.8,36.3,76.9
2,87,75,25.0,34.9,59.9
2,88,76,8.0,33.6,82.4
2,89,74,0.0,32.9,71.8
2,90,75,0.0,31.4,93.9
2,91,77,3.2,31.3,83.4
2,92,75,0.0,33.3,71.3
2,93,76,5.5,33.8,79.5
2,94,75,16.4,33.5,85.0
2,95,75,45.4,33.0,67.0
2,96,76,32.2,33.6,54.9
2,97,77,10.6,34.7,66.6
2,98,78,73.5,35.0,67.4
2,99,78,4.4,33.2,81.1
2,100,80,4.0,32.9,73.8
2,101,82,0.0,30.2,89.0
2,102,82,0.0,30.0,97.2
2,103,80,0.0,31.3,105.5
2,104,84,0.0,33.8,103.9
2,105,89,4.6,35.1,69.7
2,106,90,68.2,33.9,86.5
2,107,90,0.0,34.6,198.8
2,108,92,14.6,34.8,109.1
2,109,91,9.4,35.3,101.2
2,110,90,4.4,36.5,67.7
2,111,90,37.8,35.1,77.7
2,112,89,4.3,33.4,71.4
2,113,87,2.2,32.3,74.3
2,114,85,0.0,31.4,72.7
2,115,88,0.0,30.6,72.4
2,116,90,0.0,34.3,63.1
2,117,86,0.0,34.2,61.2
2,118,87,50.4,34.4,65.3
2,119,88,66.0,34.3,73.1
2,120,89,198.2,33.1,89.5
2,121,91,13.2,35.1,65.3
2,122,91,153.0,33.1,61.0
2,123,92,25.8,33.8,85.1
2,124,94,21.8,32.6,71.3
2,125,93,15.4,31.0,92.6
2,126,91,0.0,30.4,118.8
2,127,91,0.0,30.7,90.7
2,128,93,0.0,32.2,60.3
2,129,97,15.4,34.4,75.5
3,1,19,5.2,34.5,68.8
3,2,19,0.0,37.1,86.8
3,5,20,0.0,34.4,106.4
3,6,21,0.6,31.9,83.5
